species name (Eng)_maria,species name (Eng),Form_Taxon,Family,Form_Strukture,Goal_unit,Count_variabel,a,b,Min,Max,Regression,Source_ref,Notes,
Pleuronectidae,Pleuronectidae,Pleuronectidae,Pleuronectidae,Flesh,Weight (FW),FL,10.2,3.003931,5.5,39.5,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,Pleuronectes platessa,
Pollack,Pollack,Pollachius pollachius,Gadidae,Otolith,Weight (FW),OW,0.9,4.22,1.2,3.7,Y=(aX)^b,Leopold et al. (2001),NA,
Pollack,Pollack,Pollachius pollachius,Gadidae,Flesh,Weight (FW),FL,0.18,3.31,6.2,24.7,Y=(aX)^b,Leopold et al. (2001),,
Saithe,Saithe,Pollachius virens,Gadidae,Otolith,Weight (FW),OW,0.89,4.57,1.9,3.6,Y=(aX)^b,Leopold et al. (2001),NA,
Saithe,Saithe,Pollachius virens,Gadidae,Flesh,Weight (FW),FL,28.8,2.608803,13.5,30.5,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
Gobiidae,Gobiidae,Pomatoschistus,Gobiidae,Flesh,Weight (FW),FL,0.21,2.83,2.8,9.3,Y=(aX)^b,Leopold et al. (2001),,
Sand Goby,Sand Goby,Pomatoschistus minutus,Gobiidae,Otolith,Weight (FW),OW,0.1677,5.369,0.95,1.55,Y=aX^b,Härkönen (1986),NA,
Sand Goby,Sand Goby,Pomatoschistus minutus,Gobiidae,Flesh,Weight (FW),FL,0.21,2.83,2.8,9.3,Y=(aX)^b,Leopold et al. (2001),NA,
Painted Goby,Painted Goby,Pomatoschistus pictus,Gobiidae,Otolith,Weight (FW),OW,0.294,7.076,0.9,1,Y=aX^b,Härkönen (1986),NA,
Painted Goby,Painted Goby,Pomatoschistus pictus,Gobiidae,Flesh,Weight (FW),FL,0.2,3,2.6,4.7,Y=(aX)^b,Leopold et al. (2001),,
Pomatoschistus sp.,Pomatoschistus sp.,Pomatoschistus sp.,Gobiidae,Otolith,Weight (FW),OW,0.294,7.076,0.9,1,Y=aX^b,Härkönen (1986),Pomatoschistus minutus,
Swimming Crab Family,Swimming Crab Family,Portunidae,Portunidae,Flesh,Weight (FW),FL,201,3.032321,2.5,5.5,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
Nine-spined Stickleback,Nine-spined Stickleback,Pungitius pungitius,Gasterosteidae,Otolith,Weight (FW),OW,1.93,3.26,0.3,0.6,Y=(aX)^b,Leopold et al. (2001),NA,
Nine-spined Stickleback,Nine-spined Stickleback,Pungitius pungitius,Gasterosteidae,Flesh,Weight (FW),FL,10.4,2.727221,2.5,5.6,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
Tadpole fish,Tadpole fish,Raniceps raninus,Lotidae,Otolith,Weight (FW),OL,0.4,3.45,6,12,Y=(aX)^b,Leopold et al. (2001),NA,
Tadpole fish,Tadpole fish,Raniceps raninus,Lotidae,Otolith,Weight (FW),OW,0.8,3.58,3.9,5.5,Y=(aX)^b,Leopold et al. (2001),NA,
Tadpole Fish,Tadpole Fish,Raniceps raninus,Lotidae,Flesh,Weight (FW),FL,0.24,3,13,32,Y=(aX)^b,Leopold et al. (2001),,
Common Roach,Roach,Rutilus rutilus,Cyprinidae,Otolith,Weight (FW),OL,1.34,3.38,0.9,3.8,Y=(aX)^b,Leopold et al. (2001),NA,
Common Roach,Roach,Rutilus rutilus,Cyprinidae,Otolith,Weight (FW),OW,1.04,4.14,1,3.4,Y=(aX)^b,Leopold et al. (2001),NA,
Common Roach,Roach,Rutilus rutilus,Cyprinidae,Gillarch,Weight (FW),PL,0.36,3.11,3.2,15.7,Y=(aX)^b,Leopold et al. (2001),NA,
Common Roach,Roach,Rutilus rutilus,Cyprinidae,Flesh,Weight (FW),FL,5,3.2166,1.9,34.5,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
Atlantic salmon,Atlantic salmon,Salmo salar,Salmonidae,Otolith,Weight (FW),OL,16.78,2.45,4.8,5.8,Y=(aX)^b,Härkönen (1986),NA,
Atlantic Salmon,Salmon,Salmo salar,Salmonidae,Flesh,Weight (FW),FL,10,2.9858,,,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
Brown Trout,Trout,Salmo trutta,Salmonidae,Otolith,Weight (FW),OW,1.54,4.59,1.5,3.9,Y=(aX)^b,Leopold et al. (2001),NA,
Brown Trout,Trout,Salmo trutta,Salmonidae,Flesh,Weight (FW),FL,6.01,3.139089,14.5,86.5,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
Salmonidae,Salmonidae,Salmonidae,Salmonidae,Otolith,Weight (FW),OW,1.54,4.59,1.5,3.9,Y=(aX)^b,Leopold et al. (2001),NA,
Zander,Pike-perch,Sander lucioperca,Percidae,Otolith,Weight (FW),OW,1.17,4.19,1.2,5.2,Y=(aX)^b,Leopold et al. (2001),NA,
Zander,Zander,Sander lucioperca,Percidae,Flesh,Weight (FW),FL,5,3.1123,9.5,69.5,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
European Pilchard,Pilchard,Sardina pilchardus,Clupeidae,Flesh,Weight (FW),FL,0.22,3,22.2,28.5,Y=(aX)^b,Leopold et al. (2001),,
Rudd,Rudd,Scardinius erythrophthalmus,Cyprinidae,Otolith,Weight (FW),OW,1.55,3.08,1.1,2.7,Y=(aX)^b,Leopold et al. (2001),NA,
Rudd,Rudd,Scardinius erythrophthalmus,Cyprinidae,Gillarch,Weight (FW),PL,0.32,3.2,4.4,14,Y=(aX)^b,Leopold et al. (2001),NA,
Rudd,Rudd,Scardinius erythrophthalmus,Cyprinidae,Flesh,Weight (FW),FL,4.746865,3.347179,6.5,41.5,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
