species name (Eng)_maria,species name (Eng),Form_Taxon,Family,Form_Strukture,Goal_unit,Count_variabel,a,b,Min,Max,Regression,Source_ref,Notes,
European Grayling,Grayling,Thymallus thymallus,Salmonidae,Flesh,Weight (FW),FL,6.2,3.087,,,W(g)=(a*10^-6* L(cm)^b) *1000,Fishbase,NA,
Tench,Tench,Tinca tinca,Cyprinidae,Flesh,Weight (FW),FL,13.2,3.062544,9.5,59.5,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
Greater Weever,Greater Weever,Trachinus draco,Trachinidae,Flesh,Weight (FW),FL,8.21,2.913446,,,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
Atlantic Horse Mackerel,Horse Mackerel,Trachurus trachurus,Carangidae,Flesh,Weight (FW),FL,0.21,2.97,1.6,39,Y=(aX)^b,Leopold et al. (2001),,
Fourhorn sculpin,Fourhorn sculpin,Myxocephalus quadricornis,Cottidae,Otolith,Weight (FW),OL,6.289,0.353,4.5,9.5,Y=aX^b,Härkönen (1986),NA,
Fourhorn Sculpin,Fourhorn Sculpin,Myxocephalus quadricornis,Cottidae,Flesh,Weight (FW),FL,2.74,3.446988,7.5,34.5,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
Norway pout,Norway pout,Trisopterus esmarkii,Gadidae,Otolith,Weight (FW),OW,1,3.11,1.2,3.7,Y=(aX)^b,Leopold et al. (2001),NA,
Norway pout,Norway pout,Trisopterus esmarkii,Gadidae,Flesh,Weight (FW),FL,0.18,3.15,4.6,20.5,Y=(aX)^b,Leopold et al. (2001),,
Pouting/Bib,Pouting/Bib,Trisopterus luscus,Gadidae,Flesh,Weight (FW),FL,0.21,3.23,2.3,33.9,Y=(aX)^b,Leopold et al. (2001),,
Poor cod,Poor cod,Trisopterus minutus,Gadidae,Otolith,Weight (FW),OW,0.8,3.58,1.4,4.2,Y=(aX)^b,Leopold et al. (2001),NA,
Poor cod,Poor cod,Trisopterus minutus,,Flesh,Weight (FW),FL,0.21,3.1,4.9,21.5,Y=(aX)^b,Leopold et al. (2001),,
Trisopterus sp.,Trisopterus sp.,Trisopterus sp.,Gadidae,Otolith,Weight (FW),OW,0.9,3.345,NA,NA,Y=(aX)^b,Leopold et al. (2001),Average Trisopterus esmarkii and T. minutus,
Vimba Bream,Vimba Bream,Vimba vimba,Cyprinidae,Flesh,Weight (FW),FL,3.918156,3.26719,9.5,44.5,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
Topknot,Topknot,Zeugopterus punctatus,Scophthalmidae,Flesh,Weight (FW),FL,20,2.7823,9.5,21.25,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
Viviparous Eelpout,Eelpout,Zoarces viviparus,Zoarcidae,Otolith,Weight (FW),OL,1.73,4.63,0.5,1.7,Y=(aX)^b,Leopold et al. (2001),NA,
Viviparous Eelpout,Eelpout,Zoarces viviparus,Zoarcidae,Otolith,Weight (FW),OW,1.73,4.63,0.5,1.7,Y=(aX)^b,Leopold et al. (2001),NA,
Viviparous Eelpout,Eelpout,Zoarces viviparus,Zoarcidae,Flesh,Weight (FW),FL,1.84,3.254753,4.8,43.5,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
Zoarcidae,Zoarcidae,Zoarcidae,Zoarcidae,Otolith,Weight (FW),OW,1.73,4.63,0.5,1.7,Y=(aX)^b,Leopold et al. (2001),NA,
Zoarcidae,Zoarcidae,Zoarcidae,Zoarcidae,Flesh,Weight (FW),FL,1.84,3.254753,4.8,43.5,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,,
Cod,Cod,Gadus morhua,Gadidae,Otolith,Weight (FW),OL,0.37,4.04,2.5,14.6,Y=(aX)^b,Leopold et al. (2001),NA,
Shorthorn Sculpin,Shorthorn Sculpin,Myoxocephalus scorpius,Cottidae,Otolith,Weight (FW),OL,0.71,3.31,0.5,7.8,Y=(aX)^b,Leopold et al. (2001),NA,
Gobiidae,Gobiidae,Gobiidae,Gobiidae,Otolith,Weight (FW),OL,0.59,3.3,2.5,5.2,Y=(aX)^b,Leopold et al. (2001),Gobius niger,
Flatfish,Flatfish,Pleuronectidae,Pleuronectidae,Otolith,Weight (FW),OL,0.077,4.633,2.5,6.5,Y=aX^b,Härkönen (1986),NA,
Cyprinidae,Cyprinidae,Cyprinidae,Cyprinidae,Otolith,Weight (FW),FL,0.23,3.21,7.1,44.5,Y=(aX)^b,Leopold et al. (2001),,
Black Goby,Black Goby,Gobius niger,Gobiidae,Otolith,Weight (FW),OL,0.59,3.3,2.5,5.2,Y=(aX)^b,Leopold et al. (2001),,
,,Pollachius virens / Pollachius pollachius / Melanogrammus aeglefinus,Gadidae,Otolith,Weight (FW),OW,0.89,4.206666667,,,Y=(aX)^b,Leopold et al. (2001),average,
,,Pollachius pollachius / Pollachius virens,Gadidae,Otolith,Weight (FW),OW,4.395,1.55,,,Y=(aX)^b,Leopold et al. (2001),average,
,,Limanda limanda / Hippoglossoides platessoides,Pleuronectidae,Otolith,Weight (FW),OW,0.875,4.17,,,Y=(aX)^b,Leopold et al. (2001),average,
,,Gobius niger / Neogobius melanostomus,Gobiidae,Otolith,Weight (FW),OW,0.225,4.197,,,Y=aX^b,Härkönen (1986),,
European Sprat,Sprat,Sprattus sprattus,Clupeidae,Otolith,Weight (FW),OW,1.75,3.9,0.8,1.4,Y=(aX)^b,Leopold et al. (2001),,
Atlantic Herring,Herring,Clupea harengus,Clupeidae,Otolith,Weight (FW),OW,1.42,4.46,,,Y=(aX)^b,Leopold et al. (2001),,
