species name (Eng)_maria,species name (Eng),Form_Taxon,Family,Form_Strukture,Goal_unit,Count_variabel,a,b,Min,Max,regression,Formula_Source,Note
Brill,Brill,Scophthalmus rhombus,Scophthalmidae,Otolith,Lenght (FL),OW,-3.2,9.24,0.8,5.6,Y=a+bX,Leopold et al. (2001),NA
Sole,Sole,Solea solea,Soleidae,Otolith,Lenght (FL),OW,-4.72,10.32,0.5,4.6,Y=a+bX,Leopold et al. (2001),NA
Sprat,Sprat,Sprattus sprattus,Clupeidae,Otolith,Lenght (FL),OW,0.345,9.721,0.68,1.48,Y=a+bX,Lundström unpublished,NA
Long-spined Sea Scorpion,Longspined bullhead,Taurulus bubalis,Cottidae,Otolith,Lenght (FL),OW,5.36,33.71,2.4,4.6,Y=a+bX,Härkönen (1986),NA
Fourhorn sculpin,Fourhorn sculpin,Myxocephalus quadricornis,Cottidae,Otolith,Lenght (FL),OL,4.378,2.081,4.5,9.5,Y=a+bX,Härkönen (1986),NA
Norway pout,Norway pout,Trisopterus esmarkii,Gadidae,Otolith,Lenght (FL),OW,0,5.36,NA,NA,Y=a+bX,Leopold et al. (2001),NA
Poor cod,Poor cod,Trisopterus minutus,Gadidae,Otolith,Lenght (FL),OW,-2.98,5.22,NA,NA,Y=a+bX,Leopold et al. (2001),NA
Trisopterus sp.,Trisopterus sp.,Trisopterus sp.,Gadidae,Otolith,Lenght (FL),OW,-1.49,5.29,NA,NA,Y=a+bX,Leopold et al. (2001),Average T. esmarkii and T. minutus 
Eelpout,Eelpout,Zoarces viviparus,Zoarcidae,Otolith,Lenght (FL),OW,-5.54,19.29,0.5,1.7,Y=a+bX,Leopold et al. (2001),NA
Zoarcidae,Zoarcidae,Zoarcidae,Zoarcidae,Otolith,Lenght (FL),OW,-5.54,19.29,0.5,1.7,Y=a+bX,Leopold et al. (2001),Eeelpout
,,Pollachius pollachius / Pollachius virens,Gadidae,Otolith,Lenght (FL),OW,-9.0925,18.58,,,Y=a+bX,Leopold et al. (2001),Average Pollachius pollachius / Pollachius virens
,,Pollachius virens / Pollachius pollachius / Melanogrammus aeglefinus,Gadidae,Otolith,Lenght (FL),OW,-6.54625,12.785,,,Y=a+bX,Leopold et al. (2001),Average Pollachius virens / Pollachius pollachius / Melanogrammus aeglefinus
,,Platichthys flesus / Pleuronectes platessa,Pleuronectidae,Otolith,Lenght (FL),OW,-5.235,8.88,,,Y=a+bX,Leopold et al. (2001),average
,,Limanda limanda / Hippoglossoides platessoides,Pleuronectidae,Otolith,Lenght (FL),OW,-4.144666667,9.185666667,,,Y=a+bX,Leopold et al. (2001),average
,,,,,,,,,,,,,
,,Gobius niger / Neogobius melanostomus,Gobiidae,Otolith,Lenght (FL),OW,-0.8927,4.2037,,,Y=a+bX,Härkönen (1986),
