haul_id,year,year_f,year_ct,quarter,quarter_f,survey,survey_f,lat,lon,X,Y,family,family_f,catch_kg_km2
2013_1_OXBH_1_2_57.8945_9.8867,2013,2013,0,1,1,IBTS,IBTS,57.8945,9.88667,197.042,6428.428,Other,Other,19.294326241134755
2013_1_OXBH_1_2_57.8945_9.8867,2013,2013,0,1,1,IBTS,IBTS,57.8945,9.88667,197.042,6428.428,Pleuronectidae,Pleuronectidae,83.52482269503547
2013_1_OXBH_1_2_57.8945_9.8867,2013,2013,0,1,1,IBTS,IBTS,57.8945,9.88667,197.042,6428.428,Scombridae,Scombridae,0
2013_1_OXBH_1_35_58.63_10.8462,2013,2013,0,1,1,IBTS,IBTS,58.63,10.84617,258.894,6506.321,Clupeidae,Clupeidae,52.010471204188484
2013_1_OXBH_1_35_58.63_10.8462,2013,2013,0,1,1,IBTS,IBTS,58.63,10.84617,258.894,6506.321,Gadidae,Gadidae,96.92670157068062
2013_1_OXBH_1_35_58.63_10.8462,2013,2013,0,1,1,IBTS,IBTS,58.63,10.84617,258.894,6506.321,Other,Other,52.43979057591624
2013_1_OXBH_1_35_58.63_10.8462,2013,2013,0,1,1,IBTS,IBTS,58.63,10.84617,258.894,6506.321,Pleuronectidae,Pleuronectidae,69.60732984293193
2013_1_OXBH_1_35_58.63_10.8462,2013,2013,0,1,1,IBTS,IBTS,58.63,10.84617,258.894,6506.321,Scombridae,Scombridae,0
2013_1_OXBH_1_36_58.5605_10.8867,2013,2013,0,1,1,IBTS,IBTS,58.5605,10.88667,260.769,6498.447,Clupeidae,Clupeidae,790.9065155807366
2013_1_OXBH_1_36_58.5605_10.8867,2013,2013,0,1,1,IBTS,IBTS,58.5605,10.88667,260.769,6498.447,Gadidae,Gadidae,303.9773371104815
2013_1_OXBH_1_36_58.5605_10.8867,2013,2013,0,1,1,IBTS,IBTS,58.5605,10.88667,260.769,6498.447,Other,Other,43.6657223796034
2013_1_OXBH_1_36_58.5605_10.8867,2013,2013,0,1,1,IBTS,IBTS,58.5605,10.88667,260.769,6498.447,Pleuronectidae,Pleuronectidae,55.29745042492918
2013_1_OXBH_1_36_58.5605_10.8867,2013,2013,0,1,1,IBTS,IBTS,58.5605,10.88667,260.769,6498.447,Scombridae,Scombridae,0.1813031161473088
2013_1_OXBH_1_38_58.5095_10.842,2013,2013,0,1,1,IBTS,IBTS,58.5095,10.842,257.821,6492.935,Clupeidae,Clupeidae,6.245430809399478
2013_1_OXBH_1_38_58.5095_10.842,2013,2013,0,1,1,IBTS,IBTS,58.5095,10.842,257.821,6492.935,Gadidae,Gadidae,405.1853785900783
2013_1_OXBH_1_38_58.5095_10.842,2013,2013,0,1,1,IBTS,IBTS,58.5095,10.842,257.821,6492.935,Other,Other,63.704960835509134
2013_1_OXBH_1_38_58.5095_10.842,2013,2013,0,1,1,IBTS,IBTS,58.5095,10.842,257.821,6492.935,Pleuronectidae,Pleuronectidae,39.39947780678851
2013_1_OXBH_1_38_58.5095_10.842,2013,2013,0,1,1,IBTS,IBTS,58.5095,10.842,257.821,6492.935,Scombridae,Scombridae,0
2013_1_OXBH_1_40_58.329_10.8477,2013,2013,0,1,1,IBTS,IBTS,58.329,10.84767,256.91,6472.842,Clupeidae,Clupeidae,16.03960396039604
2013_1_OXBH_1_40_58.329_10.8477,2013,2013,0,1,1,IBTS,IBTS,58.329,10.84767,256.91,6472.842,Gadidae,Gadidae,152.28217821782175
2013_1_OXBH_1_40_58.329_10.8477,2013,2013,0,1,1,IBTS,IBTS,58.329,10.84767,256.91,6472.842,Other,Other,37.702970297029694
2013_1_OXBH_1_40_58.329_10.8477,2013,2013,0,1,1,IBTS,IBTS,58.329,10.84767,256.91,6472.842,Pleuronectidae,Pleuronectidae,80.07920792079207
2013_1_OXBH_1_40_58.329_10.8477,2013,2013,0,1,1,IBTS,IBTS,58.329,10.84767,256.91,6472.842,Scombridae,Scombridae,0
2013_1_OXBH_1_42_58.2992_10.9745,2013,2013,0,1,1,IBTS,IBTS,58.29917,10.9745,264.131,6469.073,Clupeidae,Clupeidae,55.2542372881356
2013_1_OXBH_1_42_58.2992_10.9745,2013,2013,0,1,1,IBTS,IBTS,58.29917,10.9745,264.131,6469.073,Gadidae,Gadidae,175.6
2013_1_OXBH_1_42_58.2992_10.9745,2013,2013,0,1,1,IBTS,IBTS,58.29917,10.9745,264.131,6469.073,Other,Other,61.57288135593221
2013_1_OXBH_1_42_58.2992_10.9745,2013,2013,0,1,1,IBTS,IBTS,58.29917,10.9745,264.131,6469.073,Pleuronectidae,Pleuronectidae,47.79661016949153
2013_1_OXBH_1_42_58.2992_10.9745,2013,2013,0,1,1,IBTS,IBTS,58.29917,10.9745,264.131,6469.073,Scombridae,Scombridae,1.152542372881356
2013_1_OXBH_1_4_57.9785_9.8687,2013,2013,0,1,1,IBTS,IBTS,57.9785,9.86867,196.687,6437.844,Clupeidae,Clupeidae,7.6214833759590785
2013_1_OXBH_1_4_57.9785_9.8687,2013,2013,0,1,1,IBTS,IBTS,57.9785,9.86867,196.687,6437.844,Gadidae,Gadidae,748.624040920716
2013_1_OXBH_1_4_57.9785_9.8687,2013,2013,0,1,1,IBTS,IBTS,57.9785,9.86867,196.687,6437.844,Other,Other,25.843989769820965
2013_1_OXBH_1_4_57.9785_9.8687,2013,2013,0,1,1,IBTS,IBTS,57.9785,9.86867,196.687,6437.844,Pleuronectidae,Pleuronectidae,32.28644501278772
2013_1_OXBH_1_4_57.9785_9.8687,2013,2013,0,1,1,IBTS,IBTS,57.9785,9.86867,196.687,6437.844,Scombridae,Scombridae,0.10741687979539642
2013_1_OXBH_1_54_57.7355_9.7262,2013,2013,0,1,1,IBTS,IBTS,57.7355,9.72617,186.164,6411.49,Clupeidae,Clupeidae,705.4135338345864
2013_1_OXBH_1_54_57.7355_9.7262,2013,2013,0,1,1,IBTS,IBTS,57.7355,9.72617,186.164,6411.49,Gadidae,Gadidae,173.38345864661653
2013_1_OXBH_1_54_57.7355_9.7262,2013,2013,0,1,1,IBTS,IBTS,57.7355,9.72617,186.164,6411.49,Other,Other,11.037593984962404
2013_1_OXBH_1_54_57.7355_9.7262,2013,2013,0,1,1,IBTS,IBTS,57.7355,9.72617,186.164,6411.49,Pleuronectidae,Pleuronectidae,70.43609022556392
2013_1_OXBH_1_54_57.7355_9.7262,2013,2013,0,1,1,IBTS,IBTS,57.7355,9.72617,186.164,6411.49,Scombridae,Scombridae,0
2013_1_OXBH_1_55_57.7455_10.1592,2013,2013,0,1,1,IBTS,IBTS,57.7455,10.15917,211.983,6410.676,Clupeidae,Clupeidae,38.56209150326798
2013_1_OXBH_1_55_57.7455_10.1592,2013,2013,0,1,1,IBTS,IBTS,57.7455,10.15917,211.983,6410.676,Gadidae,Gadidae,307.3006535947713
2013_1_OXBH_1_55_57.7455_10.1592,2013,2013,0,1,1,IBTS,IBTS,57.7455,10.15917,211.983,6410.676,Other,Other,19.03267973856209
2013_1_OXBH_1_55_57.7455_10.1592,2013,2013,0,1,1,IBTS,IBTS,57.7455,10.15917,211.983,6410.676,Pleuronectidae,Pleuronectidae,16.470588235294116
2013_1_OXBH_1_55_57.7455_10.1592,2013,2013,0,1,1,IBTS,IBTS,57.7455,10.15917,211.983,6410.676,Scombridae,Scombridae,0
2013_1_OXBH_1_57_57.83_10.625,2013,2013,0,1,1,IBTS,IBTS,57.83,10.625,240.282,6418.184,Clupeidae,Clupeidae,5.558823529411764
2013_1_OXBH_1_57_57.83_10.625,2013,2013,0,1,1,IBTS,IBTS,57.83,10.625,240.282,6418.184,Gadidae,Gadidae,508.2588235294117
2013_1_OXBH_1_57_57.83_10.625,2013,2013,0,1,1,IBTS,IBTS,57.83,10.625,240.282,6418.184,Other,Other,7.088235294117647
2013_1_OXBH_1_57_57.83_10.625,2013,2013,0,1,1,IBTS,IBTS,57.83,10.625,240.282,6418.184,Pleuronectidae,Pleuronectidae,14.129411764705882
2013_1_OXBH_1_57_57.83_10.625,2013,2013,0,1,1,IBTS,IBTS,57.83,10.625,240.282,6418.184,Scombridae,Scombridae,0
2013_1_OXBH_1_65_58.4563_11.1322,2013,2013,0,1,1,IBTS,IBTS,58.45633,11.13217,274.369,6486.011,Clupeidae,Clupeidae,566.5724907063196
2013_1_OXBH_1_65_58.4563_11.1322,2013,2013,0,1,1,IBTS,IBTS,58.45633,11.13217,274.369,6486.011,Gadidae,Gadidae,97.62825278810408
2013_1_OXBH_1_65_58.4563_11.1322,2013,2013,0,1,1,IBTS,IBTS,58.45633,11.13217,274.369,6486.011,Other,Other,23.557620817843862
2013_1_OXBH_1_65_58.4563_11.1322,2013,2013,0,1,1,IBTS,IBTS,58.45633,11.13217,274.369,6486.011,Pleuronectidae,Pleuronectidae,121.56877323420073
2013_1_OXBH_1_65_58.4563_11.1322,2013,2013,0,1,1,IBTS,IBTS,58.45633,11.13217,274.369,6486.011,Scombridae,Scombridae,0
2013_1_OXBH_1_66_58.2177_11.1947,2013,2013,0,1,1,IBTS,IBTS,58.21767,11.19467,276.51,6459.257,Clupeidae,Clupeidae,86.02150537634408
2013_1_OXBH_1_66_58.2177_11.1947,2013,2013,0,1,1,IBTS,IBTS,58.21767,11.19467,276.51,6459.257,Gadidae,Gadidae,231.72759856630825
2013_1_OXBH_1_66_58.2177_11.1947,2013,2013,0,1,1,IBTS,IBTS,58.21767,11.19467,276.51,6459.257,Other,Other,38.76702508960573
2013_1_OXBH_1_66_58.2177_11.1947,2013,2013,0,1,1,IBTS,IBTS,58.21767,11.19467,276.51,6459.257,Pleuronectidae,Pleuronectidae,102.47311827956989
2013_1_OXBH_1_66_58.2177_11.1947,2013,2013,0,1,1,IBTS,IBTS,58.21767,11.19467,276.51,6459.257,Scombridae,Scombridae,0
2013_1_OXBH_1_69_58.0543_11.0848,2013,2013,0,1,1,IBTS,IBTS,58.05433,11.08483,269.007,6441.46,Clupeidae,Clupeidae,9.592233009708739
2013_1_OXBH_1_69_58.0543_11.0848,2013,2013,0,1,1,IBTS,IBTS,58.05433,11.08483,269.007,6441.46,Gadidae,Gadidae,314.4514563106796
2013_1_OXBH_1_69_58.0543_11.0848,2013,2013,0,1,1,IBTS,IBTS,58.05433,11.08483,269.007,6441.46,Other,Other,15.878640776699031
2013_1_OXBH_1_69_58.0543_11.0848,2013,2013,0,1,1,IBTS,IBTS,58.05433,11.08483,269.007,6441.46,Pleuronectidae,Pleuronectidae,34.89805825242719
2013_1_OXBH_1_69_58.0543_11.0848,2013,2013,0,1,1,IBTS,IBTS,58.05433,11.08483,269.007,6441.46,Scombridae,Scombridae,0.9029126213592233
2013_1_OXBH_1_6_58.0262_9.868,2013,2013,0,1,1,IBTS,IBTS,58.02617,9.868,197.051,6443.145,Clupeidae,Clupeidae,1.1557788944723617
2013_1_OXBH_1_6_58.0262_9.868,2013,2013,0,1,1,IBTS,IBTS,58.02617,9.868,197.051,6443.145,Gadidae,Gadidae,822.2361809045225
2013_1_OXBH_1_6_58.0262_9.868,2013,2013,0,1,1,IBTS,IBTS,58.02617,9.868,197.051,6443.145,Other,Other,51.00502512562815
2013_1_OXBH_1_6_58.0262_9.868,2013,2013,0,1,1,IBTS,IBTS,58.02617,9.868,197.051,6443.145,Pleuronectidae,Pleuronectidae,16.045226130653266
