Sample ID,Sample from,Subarea,Prey species (Eng),Prey remain,Left otolith,Right otolith,Wear class,n,Magnification,Otolith width lupp,Otolith length lupp,Otolith width (mm),Otolith length  (mm),Prey length measured (cm),Notes,Prey species (Eng),Family,Scientific Name
KS_2024_03,colon,O-Län,Eel,otolith,NA,NA,1,1,NA,NA,NA,1.839,2.983,NA,NA,European Eel,Anguillidae,Anguilla anguilla
KS_2024_03,colon,O-Län,Eel,otolith,NA,NA,2,1,NA,NA,NA,1.327,2.005,NA,NA,European Eel,Anguillidae,Anguilla anguilla
KS_2024_03,colon,O-Län,Eel,otolith,NA,NA,2,1,NA,NA,NA,1.321,2.017,NA,NA,European Eel,Anguillidae,Anguilla anguilla
KS_2024_03,colon,O-Län,Stickleback,spine,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2 stickleback spines,Three-spined Stickleback,Gasterosteidae,Gasterosteus aculeatus
KS_2024_03,colon,O-Län,unknown,green bone,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,Unknown
KS_2024_04,stomach,O-Län,Codfish,otolith,NA,NA,3,1,NA,NA,NA,3.939,10.023,NA,most likely Cod,Gadidae,Gadidae,Gadidae
KS_2024_04,colon,O-Län,Trisopterus sp.,otolith,NA,NA,1,1,NA,NA,NA,2.478,5.561,NA,NA,Trisopterus sp.,Gadidae,Trisopterus sp.
KS_2024_04,colon,O-Län,Herring,otolith,NA,NA,1,1,NA,NA,NA,1.633,3.162,NA,NA,Herring,Clupeidae,Clupea harengus
KS_2024_04,colon,O-Län,Herring,otolith,NA,NA,1,1,NA,NA,NA,1.592,3.426,NA,NA,Herring,Clupeidae,Clupea harengus
KS_2024_04,colon,O-Län,Herring,otolith,NA,NA,1,1,NA,NA,NA,1.618,3.542,NA,NA,Herring,Clupeidae,Clupea harengus
KS_2024_04,colon,O-Län,Herring,otolith,NA,NA,1,1,NA,NA,NA,1.614,3.465,NA,NA,Herring,Clupeidae,Clupea harengus
KS_2024_04,colon,O-Län,Herring,otolith,NA,NA,1,1,NA,NA,NA,1.594,3.526,NA,NA,Herring,Clupeidae,Clupea harengus
